Wavelength (nm),SSA=10m² kg⁻¹,SSA=15m² kg⁻¹,SSA=20m² kg⁻¹,SSA=25m² kg⁻¹,SSA=30m² kg⁻¹,SSA=35m² kg⁻¹,SSA=40m² kg⁻¹,SSA=45m² kg⁻¹,SSA=50m² kg⁻¹
350.0,0.9844578143869038,0.9872907615467992,0.988983436348356,0.9901403378526001,0.9909952535216028,0.991660238435063,0.9921966146153004,0.9926411377577172,0.9930173573973138
360.0,0.9851099751527472,0.9878250551289807,0.9894469972898504,0.990555469554873,0.9913745581287152,0.9920116530287115,0.9925255190153937,0.9929513772417865,0.9933117931901921
370.0,0.9854274295660242,0.9880851538892927,0.9896726549459623,0.9907575451397886,0.9915591888086437,0.9921827041316823,0.9926856103899789,0.9931023813679051,0.9934551033050283
380.0,0.9857297931456548,0.9883329053559978,0.9898875964963374,0.9909500203435274,0.9917350447713871,0.9923456235797419,0.9928380893631208,0.993246203812226,0.9935915965499706
390.0,0.9859867622980193,0.9885434824293872,0.9900702849670328,0.9911136107060005,0.9918845076084966,0.9924840897023418,0.9929676807232911,0.9933684369611764,0.9937075998413627
400.0,0.9862334307831006,0.9887456346224026,0.9902456629274006,0.9912706522854121,0.9920279851928283,0.9926170094108426,0.99309207998736,0.9934857719025094,0.9938189538326957
410.0,0.9866925890927283,0.9891219736261313,0.9905721549689847,0.9915630022573725,0.9922950791520805,0.9928644451617767,0.9933236515203978,0.9937041906708666,0.9940262371437664
420.0,0.9871260176989788,0.9894773210926405,0.9908804401932765,0.9918390435278055,0.9925472675643311,0.9930980678332988,0.9935422920104884,0.9939104100169106,0.9942219406975858
430.0,0.9869543722164785,0.9893366193987868,0.990758376780771,0.991729748316561,0.9924474174532076,0.9930055691351805,0.9934557256838938,0.9938287619415693,0.9941444564018211
440.0,0.9867843903962705,0.9891972938777597,0.9906375076626974,0.9916215215765181,0.9923485426158822,0.992913973221146,0.993370003705843,0.9937479098198968,0.9940677271261154
450.0,0.9863596369547847,0.9888491574494589,0.990335484682984,0.9913510838019073,0.9921014693916006,0.9926850858353926,0.9931557922168053,0.9935458657904217,0.9938759843051022
460.0,0.9859309142229037,0.988497826857541,0.9900306888881976,0.9910781564246908,0.9918521159072688,0.9924540816076991,0.9929395962052275,0.9933419472759237,0.9936824604071928
470.0,0.98526271035319,0.9879503155081398,0.9895556848113332,0.9906528016913269,0.9914634888548248,0.9920940435813719,0.9926026310539537,0.9930241125480904,0.9933808227588845
480.0,0.9845782048734991,0.98738949516672,0.9890691113827984,0.9902170657523633,0.9910653614239049,0.9917251925944529,0.992257408997416,0.9926984828519302,0.9930717818911735
490.0,0.9836367025524249,0.9866181236838777,0.988399812555841,0.9896176585650479,0.9905176630566853,0.9912177503242543,0.9917824594804998,0.9922504767965465,0.9926465899002755
500.0,0.9826588148488985,0.9858168888573288,0.9877045330671652,0.9889949366965628,0.989948628824283,0.990690516880183,0.9912889683046149,0.9917849670490368,0.9922047744178345
510.0,0.9814580393109285,0.9848328917024425,0.9868505556674695,0.9882300113596522,0.9892496055821123,0.9900428104487126,0.9906826894481044,0.9912130454014908,0.99166194778789
520.0,0.9802001686438727,0.9838018993819159,0.9859556651487786,0.9874283595496092,0.9885169660397571,0.9893639166444561,0.9900471886040638,0.9906135347920807,0.9910929172805618
530.0,0.9787228778495531,0.9825907583785427,0.9849042375911163,0.9864863755793123,0.9876560044428968,0.9885660633967631,0.9893002933965577,0.9899089083381007,0.9904240910471275
540.0,0.9771679177109813,0.9813155668075907,0.9837970059944272,0.9854942736705966,0.986749152931889,0.9877256243481344,0.9885134873086647,0.9891665945031832,0.9897194639926762
550.0,0.9752793628479016,0.979766272477105,0.9824514978707887,0.984288501702701,0.9856468774388171,0.986703990603641,0.9875569873334538,0.9882641339999494,0.9888627817630367
560.0,0.973275073708381,0.9781213937250226,0.9810226448601135,0.9830078366542614,0.9844759996261191,0.9856186742767169,0.9865407899760334,0.9873052903353284,0.987952529476682
570.0,0.971249474195981,0.976458352193031,0.9795776648783352,0.9817125032590835,0.9832915665111471,0.984520689123705,0.9855126520493087,0.986335118607346,0.9870314738713456
580.0,0.9691121294098709,0.9747028296778258,0.9780519481759445,0.9803445606444755,0.9820405827361672,0.9833608968366847,0.9844265528779464,0.9853101863168753,0.9860583760757436
590.0,0.9667272090445977,0.972743063682521,0.9763482599283941,0.9788167661413147,0.9806432223499307,0.9820652597731294,0.9832131359924572,0.9841650248817121,0.9849710639191249
600.0,0.9650431537656387,0.9713586507907306,0.9751444489928076,0.9777370590148023,0.9796555719264447,0.9811494189183713,0.9823553471329834,0.9833554351081997,0.9842023297679094
610.0,0.9620433048286884,0.968891388882825,0.9729984420218495,0.9758119162565947,0.977894316495577,0.979516038316467,0.9808253637499992,0.9819113141240874,0.9828309996062901
620.0,0.9580753135316188,0.9656255502096779,0.9701566360524326,0.9732618484199498,0.9755608379739009,0.9773516215212383,0.9787976889883516,0.9799972200621812,0.9810132149422347
630.0,0.9543026898367467,0.9625180509495969,0.9674513346384258,0.9708334894507008,0.9733382023297095,0.9752896356850931,0.9768656858342004,0.9781732132504103,0.9792808036629443
640.0,0.9509823701013724,0.9597811225768945,0.9650676073732753,0.9686931507860825,0.9713787580157087,0.973471508698004,0.9751619355720039,0.976564517513646,0.9777527443481497
650.0,0.9474410731348907,0.9568599810142796,0.9625223673804414,0.9664071328936755,0.9692855021062955,0.9715288999151919,0.9733412921054548,0.9748452605263297,0.9761195132466239
660.0,0.9439107936355285,0.9539457992152394,0.959982084442673,0.9641248879855026,0.9671952416307655,0.969588739471636,0.9715226927086511,0.9731277377372571,0.9744877719787376
670.0,0.9407034993875296,0.9512963860807989,0.9576716368345556,0.9620485413042935,0.9652931593615651,0.9678229558257434,0.9698673264544162,0.9715642050634054,0.9730021926255306
680.0,0.9381882916011897,0.9492174405594503,0.9558580276363456,0.9604182968866538,0.9637994713654696,0.9664361089156356,0.9685670554977603,0.9703359541394707,0.9718350870220792
690.0,0.9343824037095319,0.9460696069806057,0.9531108713896427,0.9579482275260559,0.9615358563767862,0.9643340821240154,0.9665960054459607,0.9684738855020518,0.9700655622639839
700.0,0.9286178839193369,0.9412970136112438,0.9489432720449242,0.9541994534628313,0.9580993766452931,0.9611421664378739,0.9636024106655174,0.9656453661920595,0.9673772622691373
710.0,0.9230461940212503,0.9366785578984861,0.9449073962321727,0.9505673980865703,0.9547686952842235,0.9580476550482085,0.9606995141336522,0.9629020316008353,0.9647695121354137
720.0,0.9175449135568712,0.9321131127453067,0.9409150495282813,0.9469727976729604,0.9514711964192321,0.9549831316891503,0.9578241119925771,0.9601841814442906,0.9621855857244804
730.0,0.9155058482107578,0.9304195599410451,0.9394333787847087,0.9456383055281616,0.9502467074071885,0.9538449418999618,0.9567560017821116,0.9591744696248709,0.9612255262220751
740.0,0.9104875291116923,0.9262484289350399,0.9357824563796533,0.9423490267759856,0.9472278794817383,0.9510383776604749,0.9541218649502888,0.956684058506393,0.9588573435230285
750.0,0.9032838524193791,0.9202530003177161,0.9305306391281879,0.9376148949329367,0.9428812772648825,0.9469961555352133,0.9503270439394124,0.9530955554720812,0.9554443689907994
760.0,0.8949890949626987,0.913337902622526,0.9244671482976444,0.9321453567497566,0.937856928876608,0.9423218107334284,0.945937397490964,0.9489434761184756,0.9514945070697551
770.0,0.8857694544570981,0.9056370390212852,0.9177069418150569,0.9260425889777986,0.9322476590344548,0.9371009505572062,0.9410327488211658,0.9443028760844845,0.94707879717547
780.0,0.8768978866797216,0.8982121103047315,0.9111811940915187,0.9201466807992892,0.9268252609570169,0.9320516611976292,0.9362874897840168,0.9398116810473135,0.9428041212539429
790.0,0.8690467831366978,0.8916289982723605,0.905388878657078,0.91490943887001,0.9220059257393426,0.9275619788235848,0.932066656348918,0.9358156676463227,0.9389998150395426
800.0,0.8619151856131656,0.8856391151093429,0.90011322891711,0.9101360726042931,0.9176112208467841,0.9234662644407593,0.9282149732094661,0.9321681795892979,0.9355265382054702
810.0,0.8598963287874679,0.8839417078381984,0.8986172970712205,0.9087819941784291,0.9163641701000844,0.9223037741486892,0.9271215328069393,0.9311325396489957,0.9345402272759007
820.0,0.8593153745348623,0.8834531113615702,0.8981866193503518,0.9083921091556183,0.9160050701284609,0.9219690010713596,0.9268066271552129,0.9308342665142931,0.9342561502415829
830.0,0.8591942541914461,0.8833512394071775,0.8980968200314805,0.908310813397883,0.9159301921066186,0.9218991946566272,0.9267409627725558,0.9307720698201744,0.9341969133281112
840.0,0.8573237662939027,0.8817776314611304,0.8967094948746922,0.9070547346808745,0.9147731852867632,0.9208204904315372,0.925726216263762,0.9298108733180322,0.9332814269508148
850.0,0.8450235070053842,0.8714128524863445,0.8875628318580429,0.8987678932459296,0.9071362207790777,0.9136976586219958,0.9190236464043956,0.9234603927185675,0.9272316420085369
860.0,0.8341201968702122,0.8622005633775492,0.879420189256766,0.8913826149451528,0.9003246114489536,0.9073406211408399,0.9130386521396358,0.9177874085995649,0.9218253506827165
870.0,0.8186623500422565,0.8490996914240218,0.867819061970589,0.8808472379902017,0.8905985218574347,0.8982570080800996,0.9044816436775936,0.9096725562449217,0.9140888075252145
880.0,0.7997101457985886,0.8329711654846628,0.8535017631712338,0.8678233662981244,0.8785601640097084,0.8870030078697528,0.8938718110919318,0.8996044547755807,0.9044848273686055
890.0,0.7864076347682103,0.8216060706168857,0.8433892659111161,0.8586096662867369,0.8700335595228664,0.8790245972723885,0.8863444774242192,0.8924570547611418,0.8976633491592922
900.0,0.7809281509935398,0.8169137551395231,0.8392083132056183,0.8547966998473738,0.8665024626719986,0.8757187188785692,0.883224130778838,0.8894931227641796,0.8948336987553123
910.0,0.7766225713059977,0.8132221971225424,0.8359166535078937,0.851793255921345,0.8637200183400374,0.873112994630967,0.8807640744678914,0.8871559336857446,0.8926020337720213
920.0,0.7712622166185708,0.8086207020288038,0.8318106468649764,0.8480449071060111,0.8602462050507905,0.8698588820675668,0.8776911681396523,0.8842359451244398,0.8898134314233029
930.0,0.7647967372338019,0.8030622257611099,0.8268462662120712,0.8435101788824095,0.856041705578112,0.8659189079398789,0.8739695350671817,0.8806986792100103,0.8864346524929593
940.0,0.7577655683831881,0.7970070024309187,0.8214326599393604,0.8385616204639296,0.8514511223543103,0.861615397184596,0.8699031823044272,0.8768327232242029,0.8827410631388695
950.0,0.7499201375876609,0.7902375880343234,0.8153736010485237,0.8330187137963672,0.8463062050689936,0.8567900421240517,0.8653420836072682,0.8724950948616904,0.8785957727309169
960.0,0.725975805672684,0.7694910622010517,0.7967577779588074,0.8159596307043128,0.8304519929965082,0.8419059539139648,0.8512619487837471,0.8590960068653701,0.8657836926128883
970.0,0.7029821506736051,0.7494423141441022,0.7787000944650798,0.7993692574122628,0.8150039331929063,0.8273816077200089,0.8375056450782715,0.8459920696600507,0.8532432852197191
980.0,0.6803502518598908,0.7295837556844035,0.7607458304310516,0.7828310812268923,0.7995749181683857,0.8128534973727733,0.8237291888066401,0.8328558193479403,0.8406613163247789
990.0,0.6589527946335906,0.7106895987425932,0.7435988489216399,0.7669956298180559,0.7847732172582813,0.7988953055438776,0.8104772486514241,0.8202071117800671,0.8285360911252625
1000.0,0.6329539094244417,0.6875703765318999,0.7225289092913084,0.7474810526528584,0.7664935794344558,0.781628692639045,0.7940622691554831,0.8045218977949921,0.8134858486275424
1010.0,0.6036557161555921,0.6612939850133154,0.6984587830927638,0.7251094741034134,0.7454832991563662,0.761742624800971,0.7751261668478917,0.7864031438533375,0.7960806469742767
1020.0,0.5873109791823123,0.6465273281101936,0.6848724948644616,0.712443915348123,0.7335619483693512,0.750439600771616,0.7643480347505556,0.7760782689502035,0.7861526421976905
1030.0,0.5834289228417351,0.6430083296218844,0.6816282894816772,0.7094154132994617,0.7307085007627858,0.7477320142712593,0.7617645360367971,0.7736021056033089,0.7837705914562061
1040.0,0.5849070640076444,0.644348720794807,0.6828642891692052,0.7105694133324074,0.7317959242634585,0.7487639463381022,0.7627492486459087,0.7745459657106947,0.7846786260594029
1050.0,0.5971829873983794,0.6554554889498203,0.6930921368497265,0.7201098192808327,0.7407797190444202,0.7572847092196064,0.7708765816074905,0.7823333122978762,0.7921681036523275
1060.0,0.6137461695670866,0.6703710151869635,0.7067887114913922,0.7328611798680467,0.7527699938708233,0.7686443506148135,0.7817019841547771,0.7926981353737598,0.8021301789981181
1070.0,0.6266791936503029,0.6819629476674983,0.7174033700893017,0.7427242597642782,0.7620311418180346,0.7774086489617064,0.7900466022607703,0.8006817710258333,0.809798752087907
1080.0,0.6336415589930672,0.6881840067037102,0.7230893564589691,0.7480009100538944,0.76698108817183,0.7820895927846827,0.7945007524026,0.8049411392301613,0.813888324120898
1090.0,0.6357515460508155,0.6900666737278452,0.7248086422543051,0.7495955025844894,0.768476313014754,0.7835030908133559,0.7958454055574671,0.8062267046011365,0.815122409508382
1100.0,0.6394929144183247,0.6934020005275675,0.727852897493028,0.7524179355433793,0.7711221467553577,0.7860037781231736,0.798223889599022,0.8085003490089571,0.8173047444355135
1110.0,0.6358697774961084,0.6901720863280343,0.7249048702035622,0.7496847312357228,0.7685599688162618,0.783582165734918,0.795920623192245,0.8062986126060666,0.8151914346674655
1120.0,0.632369129801453,0.687047939357881,0.7220515050386715,0.7470381014285667,0.7660781231277742,0.7812358714202035,0.7936885279999141,0.8041645407308549,0.813142771638254
1130.0,0.6171667770449276,0.673441290799794,0.7096025791899311,0.7354773750774286,0.7552276212084549,0.7709709406139099,0.783917791222568,0.7948185867960904,0.8041673566620847
1140.0,0.6039717052039084,0.6615781719594329,0.6987196217805416,0.7253522657633613,0.7457115832452925,0.7619588992676121,0.7753322732533738,0.7866004873444364,0.7962703296672422
1150.0,0.6026350202041076,0.660373594064956,0.6976130169370063,0.7243217316416368,0.7447423525342735,0.761040494502172,0.7744569447458165,0.7857623089208748,0.7954646459354245
1160.0,0.5602501443377694,0.6219004764245339,0.6621149510417287,0.6911650185883195,0.7134889341392697,0.7313748438446608,0.7461432618171498,0.758618902167408,0.7693479420941128
1170.0,0.5237905203498507,0.5883497407633212,0.6309031689463834,0.6618471786327209,0.6857385073288246,0.7049484847125647,0.7208549658469672,0.7343229977092578,0.7459278827832124
1180.0,0.4888575697095599,0.5557738616098176,0.6003551040715158,0.6329950156316343,0.6583177003042029,0.6787532244028761,0.6957236324707049,0.7101266089212631,0.7225617847273524
1190.0,0.4579276659351962,0.5265503830156737,0.5727335574419238,0.6067651324025457,0.633288749811588,0.6547679366567362,0.6726542265835319,0.6878687595946124,0.7010294368130767
1200.0,0.43279343271895154,0.5025188884499692,0.5498559568046945,0.584932911574003,0.612379895075594,0.6346738053143817,0.6532828666479604,0.6691431308890916,0.6828848311546214
1210.0,0.3894099778681523,0.4603845355466314,0.509362757850657,0.5460370421593709,0.5749481495949331,0.5985643026533582,0.618365564227776,0.6353039253753876,0.6500249041398747
1220.0,0.36203220716709594,0.4333273312245746,0.48308329939592076,0.5206099767525358,0.5503457472584582,0.574730761317628,0.5952402792150294,0.6128291735080613,0.6281481666969913
1230.0,0.3454912318610959,0.4167883845185455,0.4669055782660437,0.504880359484235,0.5350709512102192,0.5598913376706629,0.5808087969701635,0.5987769347731016,0.6144477378004961
1240.0,0.3335164324964249,0.40471933821216294,0.455042726158699,0.4933073992402382,0.5238045972209933,0.5489247870465508,0.5701269150483845,0.5883621451825163,0.6042824197234608
1250.0,0.32520434261070197,0.3962924975739276,0.4467301307108339,0.4851778420450304,0.5158758330309475,0.5411958982609453,0.562589879771488,0.5810064531649682,0.5970970279714435
1260.0,0.3225855823402396,0.39362875074107856,0.4440971829232681,0.4825992820893317,0.513358359876304,0.5387399076402912,0.5601932920698508,0.5786662621178795,0.5948099691018275
1270.0,0.32004906163839647,0.3910446558507103,0.44154054583284497,0.4800938158820872,0.5109110558925722,0.5363514623335148,0.5578618967367887,0.5763891454996688,0.5925840685117151
1280.0,0.3239709466148869,0.3950375027048374,0.4454894853451133,0.48396275772300956,0.5146895094894091,0.5400385425787565,0.5614605221544439,0.5799036819691072,0.5960193071702194
1290.0,0.32661046795345866,0.3977194191815137,0.4481386829317688,0.4865561079905727,0.5172206244540661,0.5425072442805464,0.5638690485321558,0.5822551581975147,0.5983170895112129
1300.0,0.32793285303106773,0.3990612928202098,0.4494631469082976,0.4878519563279387,0.5184848748465679,0.5437399417132494,0.5650714013744718,0.5834287912244425,0.599463725567078
1310.0,0.33056692044122665,0.40173143946540035,0.45209696620121387,0.49042771520826023,0.5209969784907083,0.5461886970201038,0.5674593591075473,0.5857592868183434,0.6017402611483706
1320.0,0.3305494718140132,0.40171340599220345,0.45207900408039864,0.49041004803753663,0.5209796837038961,0.5461717948641609,0.5674428457476364,0.585743148155862,0.6017244790298981
1330.0,0.33184393611207125,0.4030239319186594,0.45337071319452443,0.4916726236908953,0.5222105835436843,0.5473712967495811,0.5686122855638954,0.5868842207424811,0.6028389443803349
1340.0,0.33051451339227844,0.4016772755075273,0.452043016323405,0.4903746510483206,0.5209450326635189,0.5461379303672148,0.5674097601325242,0.5857108131919033,0.601692858358669
1350.0,0.32542948758974166,0.3965176259320391,0.4469506596045084,0.485392633798519,0.5160847709342863,0.5413992057735211,0.5627878890351725,0.581199518076807,0.5972854905117181
1360.0,0.3229918064715822,0.3940384627867234,0.44450039827430177,0.48299314802593896,0.5137422478443165,0.53911398336381,0.5605580114516245,0.5790221731469511,0.5951576296953446
1370.0,0.3170803666334577,0.3880116825936699,0.4385349102014072,0.47714517899796144,0.5080286587164065,0.5335367540059036,0.5551131625942541,0.5737034086309322,0.5899579270717142
1380.0,0.30707185541265364,0.3777587270324782,0.4283562495254658,0.4671466097923189,0.49824493670653236,0.5239751213717792,0.5457694483388507,0.5645687148260391,0.5810216127687867
1390.0,0.2918439060048694,0.3620342175967672,0.41266926879242427,0.4516849361521943,0.4830772800369839,0.5091224739789838,0.5312320722159033,0.5503376256342256,0.5670838578226675
1400.0,0.27136754042871963,0.34063922784791045,0.39116980299686555,0.4303871640778143,0.4621057575739475,0.4885259110613728,0.5110245064908455,0.5305164736125403,0.5476384964858448
1410.0,0.1865803396616036,0.24839082307559318,0.2960949908384832,0.33451806552809243,0.3664384340966674,0.3935784089107529,0.4170719610826419,0.4377021210558835,0.4560305856056433
1420.0,0.11776961655180448,0.1676153680205364,0.20874519605226344,0.24339779023727728,0.2731512606137003,0.2991029623974532,0.3220335629613068,0.34251374386898126,0.36097141313869147
1430.0,0.06787900428397158,0.10369459281308031,0.13558763617362968,0.16390737772126138,0.1891954647841863,0.21194109668451622,0.23254700595654246,0.2513378375063436,0.26857516196550846
1440.0,0.04548500049650645,0.06969614625085699,0.09444995132742154,0.11736162923314512,0.13847296029250913,0.15794075712835162,0.17594128821901292,0.19264056814308994,0.20818616390135963
